2025/02/13 08:25:08 [error] 19#19: *136 open() "/assets/geoserver/web/wicket/bookmarkable/org.geoserver.web.AboutGeoServerPage" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /geoserver/web/wicket/bookmarkable/org.geoserver.web.AboutGeoServerPage HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:09 [error] 19#19: *137 open() "/assets/index.jsa" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /index.jsa HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:09 [error] 19#19: *138 open() "/assets/geoserver/web/wicket/bookmarkable/org.geoserver.web.AboutGeoServerPage" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /geoserver/web/wicket/bookmarkable/org.geoserver.web.AboutGeoServerPage HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:09 [error] 19#19: *139 open() "/assets/main.html" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /main.html HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:09 [error] 19#19: *140 open() "/assets/Account/Login" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /Account/Login HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:09 [error] 19#19: *141 open() "/assets/localstart.shtml" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /localstart.shtml HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:09 [error] 19#19: *142 open() "/assets/cgi-bin/info.cgi" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /cgi-bin/info.cgi HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:09 [error] 19#19: *143 open() "/assets/home.aspx" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /home.aspx HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:09 [error] 19#19: *144 open() "/assets/xml/info.xml" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /xml/info.xml HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:09 [error] 19#19: *145 open() "/assets/admin.pl" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /admin.pl HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:09 [error] 19#19: *146 open() "/assets/magento_version" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /magento_version HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:09 [error] 19#19: *147 open() "/assets/home.php" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /home.php HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:09 [error] 19#19: *148 open() "/assets/api/v1/check-version" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /api/v1/check-version HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:09 [error] 20#20: *149 open() "/assets/admin.php" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /admin.php HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:10 [error] 20#20: *150 open() "/assets/fog/management/index.php" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /fog/management/index.php?node=client&sub=logininfo HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:10 [error] 20#20: *151 open() "/assets/base.jsa" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /base.jsa HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:10 [error] 20#20: *152 open() "/assets/helpdesk/WebObjects/Helpdesk.woa" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /helpdesk/WebObjects/Helpdesk.woa HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:10 [error] 20#20: *153 open() "/assets/localstart.cfm" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /localstart.cfm HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:10 [error] 20#20: *154 open() "/assets/cluster/list.query" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /cluster/list.query HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:10 [error] 20#20: *155 open() "/assets/localstart.pl" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /localstart.pl HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:10 [error] 20#20: *156 open() "/assets/apps/zxtm/login.cgi" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /apps/zxtm/login.cgi HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:10 [error] 20#20: *157 open() "/assets/default.pl" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /default.pl HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:10 [error] 20#20: *158 open() "/assets/api/server/version" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /api/server/version HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:10 [error] 20#20: *159 open() "/assets/menu.shtml" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /menu.shtml HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:10 [error] 20#20: *160 open() "/assets/administrator/manifests/files/joomla.xml" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /administrator/manifests/files/joomla.xml HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:10 [error] 20#20: *161 open() "/assets/default.aspx" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /default.aspx HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:10 [error] 20#20: *162 open() "/assets/language/en-GB/en-GB.xml" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /language/en-GB/en-GB.xml HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
